"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-07-05","2020","07","05","","19.1","","11.6","","15.4","","2.6","","0.0","","0.0","","0.0","","0.0","","","","","","","M"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-07-06","2020","07","06","","15.6","","10.3","","13.0","","5.0","","0.0","","4.1","","0.0","","4.1","","","","","M","","M"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-07-07","2020","07","07","","20.4","","10.6","","15.5","","2.5","","0.0","","0.0","T","0.0","","0.0","T","","","","M","","M"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-07-08","2020","07","08","","17.9","","11.9","","14.9","","3.1","","0.0","","27.2","","0.0","","27.2","","","","20","","59",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-07-09","2020","07","09","","26.3","","15.4","","20.9","","0.0","","2.9","","7.6","","0.0","","7.6","","","","18","","50",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-07-10","2020","07","10","","29.2","","15.6","","22.4","","0.0","","4.4","","0.0","","0.0","","0.0","","","","","","","M"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-07-11","2020","07","11","","21.4","","16.7","","19.1","","0.0","","1.1","","27.0","","0.0","","27.0","","","","20","","35",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-07-12","2020","07","12","","25.5","","16.6","","21.1","","0.0","","3.1","","4.4","","0.0","","4.4","","","","21","","50",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-07-13","2020","07","13","","28.6","","16.4","","22.5","","0.0","","4.5","","0.0","","0.0","","0.0","","","","20","","37",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-07-14","2020","07","14","","21.7","","13.7","","17.7","","0.3","","0.0","","3.0","","0.0","","3.0","","","","4","","37",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-07-15","2020","07","15","","17.5","","11.8","","14.7","","3.3","","0.0","","0.6","","0.0","","0.6","","","","1","","39",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-07-16","2020","07","16","","20.1","","10.7","","15.4","","2.6","","0.0","","0.0","T","0.0","","0.0","T","","","5","","33",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-07-17","2020","07","17","","20.8","","10.6","","15.7","","2.3","","0.0","","2.0","","0.0","","2.0","","","","20","","33",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-07-18","2020","07","18","","25.0","","14.1","","19.6","","0.0","","1.6","","0.2","","0.0","","0.2","","","","27","","33",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-07-19","2020","07","19","","27.3","","15.5","","21.4","","0.0","","3.4","","1.0","","0.0","","1.0","","","","","M","","M"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-07-20","2020","07","20","","26.0","","16.8","","21.4","","0.0","","3.4","","0.0","","0.0","","0.0","","","","21","","61",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-07-21","2020","07","21","","29.8","","18.0","","23.9","","0.0","","5.9","","0.0","","0.0","","0.0","","","","30","","39",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-07-22","2020","07","22","","27.5","","15.5","","21.5","","0.0","","3.5","","1.0","","0.0","","1.0","","","","","M","","M"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-07-23","2020","07","23","","20.6","","17.7","","19.2","","0.0","","1.2","","13.8","","0.0","","13.8","","","","","M","","M"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-07-24","2020","07","24","","26.6","","18.8","","22.7","","0.0","","4.7","","2.0","","0.0","","2.0","","","","","M","","M"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-07-25","2020","07","25","","29.2","","17.2","","23.2","","0.0","","5.2","","1.2","","0.0","","1.2","","","","27","","50",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-07-26","2020","07","26","","24.2","","18.2","","21.2","","0.0","","3.2","","0.6","","0.0","","0.6","","","","23","","33",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-07-27","2020","07","27","","24.1","","18.2","","21.2","","0.0","","3.2","","0.0","","0.0","","0.0","","","","","M","","M"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-07-28","2020","07","28","","30.6","","18.2","","24.4","","0.0","","6.4","","0.0","T","0.0","","0.0","T","","","21","","32",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-07-29","2020","07","29","","31.0","","17.7","","24.4","","0.0","","6.4","","0.0","","0.0","","0.0","","","","23","","32",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-07-30","2020","07","30","","28.3","","17.6","","23.0","","0.0","","5.0","","0.0","","0.0","","0.0","","","","20","","41",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-07-31","2020","07","31","","27.6","","16.8","","22.2","","0.0","","4.2","","0.0","T","0.0","","0.0","T","","","","","","M"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-08-01","2020","08","01","","25.8","","15.0","","20.4","","0.0","","2.4","","0.4","","0.0","","0.4","","","","33","","39",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-08-02","2020","08","02","","29.2","","15.5","","22.4","","0.0","","4.4","","0.0","","0.0","","0.0","","","","19","","35",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-08-03","2020","08","03","","24.1","","16.9","","20.5","","0.0","","2.5","","1.2","","0.0","","1.2","","","","20","","42",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-08-04","2020","08","04","","29.6","","17.2","","23.4","","0.0","","5.4","","0.0","","0.0","","0.0","","","","30","","37",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-08-05","2020","08","05","","27.5","","17.4","","22.5","","0.0","","4.5","","18.6","","0.0","","18.6","","","","21","","37",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-08-06","2020","08","06","","28.1","","16.3","","22.2","","0.0","","4.2","","0.0","","0.0","","0.0","","","","25","","45",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-08-07","2020","08","07","","27.7","","15.2","","21.5","","0.0","","3.5","","0.0","","0.0","","0.0","","","","28","","42",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-08-08","2020","08","08","","26.5","","15.8","","21.2","","0.0","","3.2","","0.0","","0.0","","0.0","","","","","M","","M"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-08-09","2020","08","09","","29.7","","17.1","","23.4","","0.0","","5.4","","0.0","","0.0","","0.0","","","","21","","39",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-08-10","2020","08","10","","29.1","","17.8","","23.5","","0.0","","5.5","","0.0","","0.0","","0.0","","","","20","","39",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-08-11","2020","08","11","","23.4","","19.2","","21.3","","0.0","","3.3","","0.6","","0.0","","0.6","","","","21","","48",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-08-12","2020","08","12","","25.5","","18.9","","22.2","","0.0","","4.2","","0.0","","0.0","","0.0","","","","23","","42",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-08-13","2020","08","13","","30.9","","18.7","","24.8","","0.0","","6.8","","0.0","","0.0","","0.0","","","","29","","32",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-08-14","2020","08","14","","29.2","","15.7","","22.5","","0.0","","4.5","","27.4","","0.0","","27.4","","","","11","","37",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-08-15","2020","08","15","","23.0","","13.1","","18.1","","0.0","","0.1","","0.0","","0.0","","0.0","","","","11","","37",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-08-16","2020","08","16","","23.8","","11.3","","17.6","","0.4","","0.0","","0.0","","0.0","","0.0","","","","","","","M"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-08-17","2020","08","17","","15.9","","13.7","","14.8","","3.2","","0.0","","23.6","","0.0","","23.6","","","","11","","50",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-08-18","2020","08","18","","23.9","","14.1","","19.0","","0.0","","1.0","","0.4","","0.0","","0.4","","","","30","","41",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-08-19","2020","08","19","","25.1","","15.0","","20.1","","0.0","","2.1","","0.0","","0.0","","0.0","","","","21","","37",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-08-20","2020","08","20","","23.8","","13.8","","18.8","","0.0","","0.8","","0.0","","0.0","","0.0","","","","24","","48",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-08-21","2020","08","21","","23.7","","12.1","","17.9","","0.1","","0.0","","0.0","","0.0","","0.0","","","","21","","45",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-08-22","2020","08","22","","24.3","","14.5","","19.4","","0.0","","1.4","","0.0","","0.0","","0.0","","","","33","","32",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-08-23","2020","08","23","","26.1","","13.5","","19.8","","0.0","","1.8","","0.0","","0.0","","0.0","","","","20","","42",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-08-24","2020","08","24","","27.5","","16.6","","22.1","","0.0","","4.1","","0.0","","0.0","","0.0","","","","","","","M"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-08-25","2020","08","25","","21.7","","17.6","","19.7","","0.0","","1.7","","12.6","","0.0","","12.6","","","","20","","52",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-08-26","2020","08","26","","18.7","","9.9","","14.3","","3.7","","0.0","","0.4","","0.0","","0.4","","","","28","","52",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-08-27","2020","08","27","","20.5","","9.9","","15.2","","2.8","","0.0","","0.0","","0.0","","0.0","","","","25","","58",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-08-28","2020","08","28","","22.1","","9.7","","15.9","","2.1","","0.0","","0.0","","0.0","","0.0","","","","26","","54",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-08-29","2020","08","29","","22.6","","10.4","","16.5","","1.5","","0.0","","20.6","","0.0","","20.6","","","","13","","54",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-08-30","2020","08","30","","24.9","","12.5","","18.7","","0.0","","0.7","","0.0","","0.0","","0.0","","","","26","","55",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-08-31","2020","08","31","","18.0","","9.2","","13.6","","4.4","","0.0","","0.0","T","0.0","","0.0","T","","","33","","42",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-09-01","2020","09","01","","21.1","","9.2","","15.2","","2.8","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-09-02","2020","09","02","","19.5","","9.0","","14.3","","3.7","","0.0","","0.0","","0.0","","0.0","","","","15","","41",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-09-03","2020","09","03","","21.3","","16.3","","18.8","","0.0","","0.8","","8.4","","0.0","","8.4","","","","22","","42",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-09-04","2020","09","04","","24.9","","17.4","","21.2","","0.0","","3.2","","2.6","","0.0","","2.6","","","","21","","52",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-09-05","2020","09","05","","24.1","","12.3","","18.2","","0.0","","0.2","","0.0","","0.0","","0.0","","","","31","","42",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-09-06","2020","09","06","","","M","","M","","M","","M","","M","0.0","T","0.0","","0.0","T","","","22","","46",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-09-07","2020","09","07","","21.8","","9.4","","15.6","","2.4","","0.0","","0.0","","0.0","","0.0","","","","16","","37",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-09-08","2020","09","08","","26.3","","13.8","","20.1","","0.0","","2.1","","0.0","","0.0","","0.0","","","","","","","M"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-09-09","2020","09","09","","26.9","","12.4","","19.7","","0.0","","1.7","","0.0","","0.0","","0.0","","","","14","","35",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-09-10","2020","09","10","","24.7","","18.6","","21.7","","0.0","","3.7","","16.2","","0.0","","16.2","","","","24","","39",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-09-11","2020","09","11","","19.6","","7.3","","13.5","","4.5","","0.0","","0.0","T","0.0","","0.0","T","","","1","","50",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-09-12","2020","09","12","","19.4","","7.2","","13.3","","4.7","","0.0","","0.0","","0.0","","0.0","","","","32","","32",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-09-13","2020","09","13","","19.1","","8.9","","14.0","","4.0","","0.0","","1.6","","0.0","","1.6","","","","16","","42",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-09-14","2020","09","14","","","M","","M","","M","","M","","M","5.2","","0.0","","5.2","","","","25","","35",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-09-15","2020","09","15","","15.3","","6.9","","11.1","","6.9","","0.0","","0.0","","0.0","","0.0","","","","34","","32",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-09-16","2020","09","16","","17.4","","6.5","","12.0","","6.0","","0.0","","0.0","","0.0","","0.0","","","","22","","54",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-09-17","2020","09","17","","22.2","","13.1","","17.7","","0.3","","0.0","","0.0","","0.0","","0.0","","","","23","","58",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-09-18","2020","09","18","","15.7","","8.9","","12.3","","5.7","","0.0","","6.2","","0.0","","6.2","","","","2","","39",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-09-19","2020","09","19","","15.2","","4.9","","10.1","","7.9","","0.0","","0.0","","0.0","","0.0","","","","1","","46",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-09-20","2020","09","20","","14.4","","3.4","","8.9","","9.1","","0.0","","0.0","","0.0","","0.0","","","","1","","41",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-09-21","2020","09","21","","15.5","","2.1","","8.8","","9.2","","0.0","","0.0","","0.0","","0.0","","","","36","","32",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-09-22","2020","09","22","","15.6","","3.4","","9.5","","8.5","","0.0","","51.0","","0.0","","51.0","","","","2","","63",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-09-23","2020","09","23","","16.7","","10.5","","13.6","","4.4","","0.0","","37.8","","0.0","","37.8","","","","31","","72",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-09-24","2020","09","24","","21.6","","11.4","","16.5","","1.5","","0.0","","0.0","","0.0","","0.0","","","","27","","37",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-09-25","2020","09","25","","18.5","","8.6","","13.6","","4.4","","0.0","","0.0","","0.0","","0.0","","","","","","","M"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-09-26","2020","09","26","","20.4","","5.9","","13.2","","4.8","","0.0","","0.0","","0.0","","0.0","","","","20","","35",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-09-27","2020","09","27","","22.2","","14.6","","18.4","","0.0","","0.4","","0.0","","0.0","","0.0","","","","21","","42",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-09-28","2020","09","28","","22.1","","17.3","","19.7","","0.0","","1.7","","0.0","","0.0","","0.0","","","","21","","45",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-09-29","2020","09","29","","24.3","","17.9","","21.1","","0.0","","3.1","","0.2","","0.0","","0.2","","","","21","","50",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-09-30","2020","09","30","","21.7","","14.6","","18.2","","0.0","","0.2","","7.8","","0.0","","7.8","","","","21","","76",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-10-01","2020","10","01","","20.5","","11.9","","16.2","","1.8","","0.0","","0.0","","0.0","","0.0","","","","20","","41",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-10-02","2020","10","02","","17.9","","12.1","","15.0","","3.0","","0.0","","1.4","","0.0","","1.4","","","","","M","","M"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-10-03","2020","10","03","","16.9","","9.1","","13.0","","5.0","","0.0","","0.0","","0.0","","0.0","","","","31","","39",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-10-04","2020","10","04","","16.4","","7.0","","11.7","","6.3","","0.0","","0.0","T","0.0","","0.0","T","","","","M","","M"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-10-05","2020","10","05","","13.1","","6.8","","10.0","","8.0","","0.0","","0.4","","0.0","","0.4","","","","","M","","M"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-10-06","2020","10","06","","16.0","","6.3","","11.2","","6.8","","0.0","","4.6","","0.0","","4.6","","","","18","","37",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-10-07","2020","10","07","","16.2","","11.6","","13.9","","4.1","","0.0","","22.8","","0.0","","22.8","","","","19","","71",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-10-08","2020","10","08","","13.4","","4.3","","8.9","","9.1","","0.0","","1.2","","0.0","","1.2","","","","29","","72",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-10-09","2020","10","09","","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","30","","71",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-10-10","2020","10","10","","17.1","","4.5","","10.8","","7.2","","0.0","","0.0","","0.0","","0.0","","","","20","","72",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-10-11","2020","10","11","","14.8","","-0.3","","7.3","","10.7","","0.0","","2.4","","0.0","","2.4","","","","32","","52",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-10-12","2020","10","12","","10.4","","-0.8","","4.8","","13.2","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-10-13","2020","10","13","","14.1","","1.8","","8.0","","10.0","","0.0","","2.0","","0.0","","2.0","","","","13","","50",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-10-14","2020","10","14","","17.1","","8.5","","12.8","","5.2","","0.0","","46.0","","0.0","","46.0","","","","14","","71",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-10-15","2020","10","15","","17.0","","6.2","","11.6","","6.4","","0.0","","0.0","","0.0","","0.0","","","","20","","37",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-10-16","2020","10","16","","18.1","","8.0","","13.1","","4.9","","0.0","","0.0","","0.0","","0.0","","","","17","","37",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-10-17","2020","10","17","","17.8","","4.3","","11.1","","6.9","","0.0","","17.8","","0.0","","17.8","","","","17","","68",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-10-18","2020","10","18","","14.7","","2.6","","8.7","","9.3","","0.0","","0.0","","0.0","","0.0","","","","3","","33",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-10-19","2020","10","19","","14.8","","5.4","","10.1","","7.9","","0.0","","3.2","","0.0","","3.2","","","","","M","","M"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-10-20","2020","10","20","","18.2","","12.0","","15.1","","2.9","","0.0","","2.6","","0.0","","2.6","","","","21","","42",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-10-21","2020","10","21","","16.1","","10.0","","13.1","","4.9","","0.0","","5.8","","0.0","","5.8","","","","13","","39",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-10-22","2020","10","22","","18.1","","7.4","","12.8","","5.2","","0.0","","0.8","","0.0","","0.8","","","","21","","33",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-10-23","2020","10","23","","13.7","","5.2","","9.5","","8.5","","0.0","","0.0","","0.0","","0.0","","","","","","","M"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-10-24","2020","10","24","","11.8","","4.1","","8.0","","10.0","","0.0","","0.0","T","0.0","","0.0","T","","","34","","52",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-10-25","2020","10","25","","8.8","","-0.3","","4.3","","13.7","","0.0","","0.0","","0.0","","0.0","","","","34","","45",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-10-26","2020","10","26","","10.3","","-0.7","","4.8","","13.2","","0.0","","0.4","","0.0","","0.4","","","","13","","35",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-10-27","2020","10","27","","13.0","","0.8","","6.9","","11.1","","0.0","","2.0","","0.0","","2.0","","","","33","","48",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-10-28","2020","10","28","","3.9","","-2.5","","0.7","","17.3","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-10-29","2020","10","29","","9.5","","1.3","","5.4","","12.6","","0.0","","2.2","","0.0","T","2.2","","","","1","","48",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-10-30","2020","10","30","","3.0","","-0.2","","1.4","","16.6","","0.0","","0.4","","0.4","","0.8","","","","2","","50",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-10-31","2020","10","31","","5.0","","-2.8","","1.1","","16.9","","0.0","","0.0","","0.0","","0.0","","","","33","","46",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-11-01","2020","11","01","","12.7","","-3.3","","4.7","","13.3","","0.0","","7.4","","0.0","","7.4","","","","17","","67",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-11-02","2020","11","02","","14.1","","-0.6","","6.8","","11.2","","0.0","","36.8","","0.0","T","36.8","","","","25","","76",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-11-03","2020","11","03","","1.5","","-4.5","","-1.5","","19.5","","0.0","","0.0","","11.8","","10.2","","12","E","27","","48",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-11-04","2020","11","04","","1.1","","-6.4","","-2.7","","20.7","","0.0","","0.0","","0.0","","0.0","","","","31","","42",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-11-05","2020","11","05","","11.8","","0.7","","6.3","","11.7","","0.0","","0.0","T","0.0","","0.0","T","","","21","","61",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-11-06","2020","11","06","","15.8","","10.7","","13.3","","4.7","","0.0","","0.0","","0.0","","0.0","","","","22","","45",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-11-07","2020","11","07","","18.1","","3.9","","11.0","","7.0","","0.0","","0.0","","0.0","","0.0","","","","31","","42",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-11-08","2020","11","08","","7.1","","3.9","","5.5","","12.5","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-11-09","2020","11","09","","16.2","","6.6","","11.4","","6.6","","0.0","","0.0","","0.0","","0.0","","","","","","","M"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-11-10","2020","11","10","","20.9","","7.7","","14.3","","3.7","","0.0","","0.0","","0.0","","0.0","","","","23","","33",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-11-11","2020","11","11","","17.7","","9.5","","13.6","","4.4","","0.0","","0.0","","0.0","","0.0","","","","22","","48",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-11-12","2020","11","12","","18.2","","6.2","","12.2","","5.8","","0.0","","5.5","","0.0","","5.5","","","","24","","48",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-11-13","2020","11","13","","7.0","","1.4","","4.2","","13.8","","0.0","","6.1","","0.0","","6.1","","","","6","","33",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-11-14","2020","11","14","","5.4","","2.3","","3.9","","14.1","","0.0","","1.0","","0.0","","1.0","","","","32","","41",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-11-15","2020","11","15","","4.0","","-1.3","","1.4","","16.6","","0.0","","0.0","","0.0","","0.0","","","","32","","46",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-11-16","2020","11","16","","12.0","","2.8","","7.4","","10.6","","0.0","","23.6","","0.0","","23.6","","","","15","","68",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-11-17","2020","11","17","","6.7","","-1.4","","2.7","","15.3","","0.0","","0.0","","0.0","","0.0","","","","26","","35",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-11-18","2020","11","18","","0.1","","-4.6","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","","","31","","45",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-11-19","2020","11","19","","5.5","","-5.6","","-0.1","","18.1","","0.0","","0.0","","0.0","","0.0","","","","22","","37",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-11-20","2020","11","20","","10.6","","5.5","","8.1","","9.9","","0.0","","0.0","T","0.0","","0.0","T","","","23","","42",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-11-21","2020","11","21","","14.0","","-2.2","","5.9","","12.1","","0.0","","0.0","","0.0","","0.0","","","","29","","45",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-11-22","2020","11","22","","2.1","","-3.5","","-0.7","","18.7","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202251","2020-11-23","2020","11","23","","15.2","","-0.8","","7.2","","10.8","","0.0","","21.4","","0.0","","21.4","","","","17","","76",""
