Initials,Group (choose from drop down),Trial #,Flavour,Reaction time (in sec),"Accuracy (0=incorrect, 1=correct)",,,,,,,,,,,,,,,,,,,,,
JF,experimental,3,grape,27.17,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
HB,control,1,lemon,6.64,1,,,,,,,,,,,,,,,,,,,,,
HB ,control,2,grape,10.21,0,,,,,,,,,,,,,,,,,,,,,
HB,control,3,cherry,6.04,1,,,,,,,,,,,,,,,,,,,,,
JB,experimental,1,orange,11.39,0,,,,,,,,,,,,,,,,,,,,,
JB,experimental,2,lemon,9.58,1,,,,,,,,,,,,,,,,,,,,,
JB,experimental,3,marshmallow,12.05,0,,,,,,,,,,,,,,,,,,,,,
SPE,control,1,cherry,3.71,1,,,,,,,,,,,,,,,,,,,,,
SPE,control,2,lemon,2.97,1,,,,,,,,,,,,,,,,,,,,,
SPE,control,3,blueberry,5.98,0,,,,,,,,,,,,,,,,,,,,,
ETH,experimental,1,cherry,7.75,0,,,,,,,,,,,,,,,,,,,,,
ETH,experimental,2,licorice,8.46,0,,,,,,,,,,,,,,,,,,,,,
ETH,experimental,3,orange,4.26,1,,,,,,,,,,,,,,,,,,,,,
GC,control,1,orange,5.35,1,,,,,,,,,,,,,,,,,,,,,
GC,control,2,yellow,15.48,1,,,,,,,,,,,,,,,,,,,,,
GC,control,3,red,12.12,1,,,,,,,,,,,,,,,,,,,,,
BM,experimental,1,orange,7.65,1,,,,,,,,,,,,,,,,,,,,,
BM,experimental,2,white,7.48,1,,,,,,,,,,,,,,,,,,,,,
BM,experimental,3,purple ,9.7,0,,,,,,,,,,,,,,,,,,,,,
HK,control,1,Cherry,2.6,1,,,,,,,,,,,,,,,,,,,,,
HK,control,2,Grape,5.1,1,,,,,,,,,,,,,,,,,,,,,
HK,control,3,Lemon,4.9,1,,,,,,,,,,,,,,,,,,,,,
JK,experimental,1,orange,14.5,0,,,,,,,,,,,,,,,,,,,,,
JK,experimental,2,coconut,17.23,0,,,,,,,,,,,,,,,,,,,,,
JK,experimental,3,lemon,15.5,0,,,,,,,,,,,,,,,,,,,,,
CL,control,1,Cherry,14.17,0,,,,,,,,,,,,,,,,,,,,,
CL,control,2,lemon,29.4,0,,,,,,,,,,,,,,,,,,,,,
CL,control,3,cinnamon,5.92,0,,,,,,,,,,,,,,,,,,,,,
KM,control,1,coconut,12.7,0,,,,,,,,,,,,,,,,,,,,,
,control,2,orange,6.9,1,,,,,,,,,,,,,,,,,,,,,
,control,3,lemon,6.7,0,,,,,,,,,,,,,,,,,,,,,
AN,experimental,1,orange,9.9,1,,,,,,,,,,,,,,,,,,,,,
,experimental,2,grape,9.4,0,,,,,,,,,,,,,,,,,,,,,
,experimental,3,banana,5.5,0,,,,,,,,,,,,,,,,,,,,,
AM,control,1,Banana,4.58,1,,,,,,,,,,,,,,,,,,,,,
,control,2,Cherry,4.7,1,,,,,,,,,,,,,,,,,,,,,
,control,3,Orange,4.73,1,,,,,,,,,,,,,,,,,,,,,
EZ,experimental,1,Bubblegum,23,0,,,,,,,,,,,,,,,,,,,,,
,experimental,2,Lemon,8,0,,,,,,,,,,,,,,,,,,,,,
,experimental,3,Grape,11,0,,,,,,,,,,,,,,,,,,,,,
TM,control,1,cherry,9.9,0,,,,,,,,,,,,,,,,,,,,,
,control,2,lemon,12.7,0,,,,,,,,,,,,,,,,,,,,,
,control,3,grape,11.2,0,,,,,,,,,,,,,,,,,,,,,
MO,experimental,3,coconut,12.3,0,,,,,,,,,,,,,,,,,,,,,
,experimental,2,orange,20.8,0,,,,,,,,,,,,,,,,,,,,,
,experimental,3,cherry,13,0,,,,,,,,,,,,,,,,,,,,,
IR,control,1,Cherry,17,1,,,,,,,,,,,,,,,,,,,,,
,control,2,Orange,7,1,,,,,,,,,,,,,,,,,,,,,
,control,3,Lemon,7,1,,,,,,,,,,,,,,,,,,,,,
SW,experimental,1,Lemon,16,0,,,,,,,,,,,,,,,,,,,,,
,experimental,2,Cherry,17,0,,,,,,,,,,,,,,,,,,,,,
,experimental,3,Orange,22,0,,,,,,,,,,,,,,,,,,,,,
JP,,1,Lemon,5.46,1,,,,,,,,,,,,,,,,,,,,,
,control,2,orange,9.87,1,,,,,,,,,,,,,,,,,,,,,
,control,3,cherry,3.62,1,,,,,,,,,,,,,,,,,,,,,
VP,experimental,1,apple,21.35,0,,,,,,,,,,,,,,,,,,,,,
,experimental,2,apple,9.99,0,,,,,,,,,,,,,,,,,,,,,
,experimental,3,banana,28.08,0,,,,,,,,,,,,,,,,,,,,,
NW,experimental,1,banana,19.96,0,,,,,,,,,,,,,,,,,,,,,
,experimental,2,lemon,14.82,0,,,,,,,,,,,,,,,,,,,,,
,experimental,3,blueberry,20.73,0,,,,,,,,,,,,,,,,,,,,,
PR,control,1,cherry,11.75,1,,,,,,,,,,,,,,,,,,,,,
,control,2,strawberry,24.87,0,,,,,,,,,,,,,,,,,,,,,
,control,3,lemon,10.56,0,,,,,,,,,,,,,,,,,,,,,
IO,control,1,banana,14.26,1,,,,,,,,,,,,,,,,,,,,,
,control,2,cherry,8.76,1,,,,,,,,,,,,,,,,,,,,,
,control,3,orange,5.65,0,,,,,,,,,,,,,,,,,,,,,
Dw,control,1,lime,7.82,0,,,,,,,,,,,,,,,,,,,,,
,control,2,orange,4.69,0,,,,,,,,,,,,,,,,,,,,,
,control,3,cherry,4.81,1,,,,,,,,,,,,,,,,,,,,,
Rm,experimental,1,orange,16.49,0,,,,,,,,,,,,,,,,,,,,,
,experimental,2,lime,12.92,0,,,,,,,,,,,,,,,,,,,,,
,experimental,3,cherry,9.86,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Hw,control,1,lime,14,0,,,,,,,,,,,,,,,,,,,,,
,control,2,orange,6,0,,,,,,,,,,,,,,,,,,,,,
,control,3,lemon,2,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ER,experimental,1,purple,16,0,,,,,,,,,,,,,,,,,,,,,
,experimental,2,red,7,0,,,,,,,,,,,,,,,,,,,,,
,experimental,3,yellow + white,11,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
JORL,control,1,orange,6.28,1,,,,,,,,,,,,,,,,,,,,,
,control,2,yellow,3.05,1,,,,,,,,,,,,,,,,,,,,,
,control,3,white,3.32,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
TT,control,1,Lemon,11,1,,,,,,,,,,,,,,,,,,,,,
TT,control,2,Orange,9,1,,,,,,,,,,,,,,,,,,,,,
TT,control,3,Coconut,4,1,,,,,,,,,,,,,,,,,,,,,
LM,experimental,1,yellow and white,11.56,0,,,,,,,,,,,,,,,,,,,,,
,experimental,2,yellow and brown,9.34,0,,,,,,,,,,,,,,,,,,,,,
,experimental,3,orange,13.01,0,,,,,,,,,,,,,,,,,,,,,
MO,experimental,1,orange,15.75,1,,,,,,,,,,,,,,,,,,,,,
